Question,Answer
What are Substack leaderboards?,"Substack leaderboards are designed so that publishers can find new subscribers and subscribers can find great publishers. 

On the Discover page are a variety of categories where readers can click on what interests them and then filter and see the ""Top paid"" and ""All"" publications in that category.

Note: ""Top paid"" are mainly based on GAR and ""All"" refers to all publications which appear in that category on our leaderboards."
How do I get on a leaderboard?,"All of our categories except ""Featured"" and ""Featured recommenders"" are automated based on a writer's performance on Substack with factors including total number of paid and free subscribers and frequency of publishing. Subscribers are the most important and with Recommendations, this cross-promotion tool helps writers to directly endorse each other’s publications on Substack and gain new subscribers. Featured recommenders: publications we feature that are generating the most subscriptions for other publications via Recommendations in the last two weeks. Writer favorites: publications with the most recommendations relative to their size."
Can I write anonymously on Substack?,"When you start publishing on Substack, you can choose to keep private information anonymous. When you create a publication, you'll be given an option to decide what information you make publicly available on your profile. Here are some tips to help you get started: Sign up for Substack with a specific email account for your newsletter so there's no attachment to your personal email address or name. If you enable paid subscriptions on your publication, Stripe does require business and personal details to comply with regulations. Learn more about how to keep those details private from your subscribers. Tip: Check out our Resources post here which has several tips and strategies on how to write anonymously on Substack.."
Can I write in a language other than English?,"You're welcome to write in any language on Substack as long as your device is set in the language you want to write in. At the moment, we don't offer full website or newsletter localization which means the rest of our platform, from the writer dashboard to Substack emails, will be in English."
How do I get my email out of the Promotions tab?,"We take steps on our end to try to ensure Substack emails reach the reader's main inbox but over time the reputation that your newsletter builds up with readers it the most important input. Asking your readers to drag the emails back to the Inbox helps. Also, you can encourage them to write to you at your @substack.com address, which helps Gmail recognize your emails."
Can I create multiple publications under the same account?,"Follow these steps to create a new publication under your Substack account. 1. Head to your Settings page and scroll to ""Publications"".2. Click on ""Create publication"" and start the process of creating a new publication."
Can I use affiliate links or advertising in my emails?,"Substack is entirely focused on subscriptions, so we don't build any additional functionality to support affiliate links or advertising Per our Content Guidelines, we don’t permit publications that are set up with the sole purpose of advertising an external product or service, distributing offers and promotions, or similar activity."
"If I set up a paid publication, does all my content have to be paid?","No, you can publish a mix of free and paid content. Each time you publish a post, you can decide whether to make it free for everyone, or only for paying subscribers."
How do I set up a paid publication?,"After creating a publication: 1. Sign into your Subtstack account and navigate to your publication's Settings page. 2. Scroll down to ""Payments"" and click the button that says ""Connect with Stripe"". 3. You'll be taken to Stripe's website, where you'll fill out required details to start receiving payments. Learn more here on what information Stripe requires. 4. After you've returned to the Settings page, set a price for your monthly and yearly subscriptions.  Note: At this time, we do not offer a ""yearly only"" subscription plan. You can also offer a Founding Member plan. This is an annual plan that lets readers subscribe at any amount higher than the monthly and yearly plans. Learn more here on how to set up a subscription plan for Founding Members. 5. When you're ready, check the “Enable payments” box, which will make your paid subscriptions go live. Your readers won't see that you offer paid subscriptions until you check this box."
Are there any countries or geographies you don't support?,"If you have a free Substack publication, you can start from anywhere. If you're planning to add paid subscriptions, you can view a list of countries supported by Stripe, our payments provider.

India, Brazil, Indonesia, Mexico, and Malaysia are exceptions to this list for additional technical reasons. Our paid subscriptions are currently in beta for these countries.

During this time, writers based in India or Brazil can still add paid subscriptions, but Substack does not currently charge a fee (you'll still be charged the usual payment processing fee).

Please note that Substack's 10% fee will eventually apply, and plan accordingly. This won't apply to customers of your publication, but only to writers who would like to set up paid subscriptions via Stripe accounts based in these countries."
"Does Substack have an API?","At this time, we don't have a public API and we don't have a timeline for when/if this would become available."
"How do I get featured on Substack?","We aim to feature writers on our home page who are going deep into a clear topic and exemplify best practices, like posting regularly and engaging with readers.

We're always on the lookout for new undiscovered writers to feature on On Substack. Have any recommendations? Please let our Community team know here!"
"How can I export my invoice data for tax purposes?
","You can export subscription invoice data for tax purposes by following these steps:

1. On your Settings page, scroll down to ""Set up paid subscriptions"".

2. Under ""Subscription invoice report"", select ""Request a new report"".

3. From here, you can request a report of all invoices created within a time period of your choosing. Once you’ve selected a start and end date, click “Request report”.

4. A .csv file containing your invoices will be generated which you can download.

Tip: You can also access any of your previous exports again by clicking “reports""."
"How do I see a list of publications that I write or contribute to?
","To see a list of your publications:

1. Sign into your Substack account and click on your profile icon.

2. From the drop-down menu, select Settings.

3. Under ""Publications"", you'll see a list of all the publications you write or contribute to."
"How do I change my email sender name?
","1. Sign into your Substack account and navigate to your publication's Settings page.

2. Scroll down to ""Publication Details"". Under ""Email Sender Name"", edit your name and click ""Save"".
"
"How do I file taxes on the money I've made on Substack?
","You can manage your tax forms from your Stripe account dashboard (e.g., download a 1099 tax form if you're a U.S. citizen).

Stripe issues your tax forms. As required by the IRS, the amount listed on your 1099 form reflects the total gross volume that you've processed, and includes things like disputes, refunds, Stripe fees, and Substack fees.

Note: You will need to deduct Stripe's and Substack's fees from your total. It does not include authorization holds or anything where money has not yet been exchanged.

To figure out your net volume (i.e., the amount that you personally earned), you will need to determine your deductions, such as Stripe fees and ""Application fees"" (i.e., Substack's fees). More information is available on Stripe's website, including where to find these numbers in your dashboard."
"How can I recommend other publications on Substack?
",Recommendations enable writers to promote and support one another. Publications you recommend are promoted to your audience and the writers of those publications are prompted to recommend you back.
"How do I recommend publications?

","Head to your Settings and scroll to your Publication Details section. Under ""Recommend other publications on Substack"", select ""Start recommending"".

On the Manage Recommendations page you can:

Add or remove recommendations.
Write a blurb explaining why you recommend that publication."
"Where do recommendations appear?

","Recommended publications are presented to your new readers in three places:

1. In the subscribe flow, your recommendations are presented to readers after they subscribe to your publication.

Readers are presented with up to seven recommendations. If you have more than seven recommendations, we'll show a random selection. If you write a ""Why I recommend"" blurb, it'll appear here.

2. On your publication's homepage. 

3. On your publication's Recommendations page.

Note: You can find a link to this page in the footer of your publication's homepage.

4. In Recommendations digest emails that we send to your subscribers when you make a new recommendation.

Readers can unsubscribe anytime from this digest email and this won’t affect their subscription to your publication. 

Learn more here if you'd like to opt out of being included in this digest."
